,iri_collapsed,count
0,<http://dbpedia.org/resource,790
1,<http://www.w3.org/2002/07,1
2,<http://dati.camera.it/ocd/aic.rdf,30
3,<http://lod.xdams.org/reload/oad/event,126
4,<http://dati.camera.it/ocd/seduta.rdf,32
5,<http://dati.camera.it/ocd/deputato.rdf,3
6,<http://dati.camera.it/ocd/dibattito.rdf,2
7,<http://dati.camera.it/ocd/attocamera.rdf,8
8,<http://dati.camera.it/ocd/voto.rdf,1
9,<http://dati.camera.it/ocd/intervento.rdf,17
10,<http://dati.camera.it/ocd/discussione.rdf,2
11,<http://dati.camera.it/ocd/legge.rdf,9
12,<http://dati.camera.it/ocd/allegatodiscussione.rdf,1
13,<http://dati.camera.it/ocd/persona.rdf,20
14,<http://dati.camera.it/ocd/pathskos:changenote/attocamera.rdf,1
15,<http://dati.camera.it/ocd/pathocd:membro/deputato.rdf,1
16,<http://dati.camera.it/ocd/doc.rdf,1
17,<http://dati.camera.it/ocd/organo.rdf,6
18,<http://dati.camera.it/ocd/senatore.rdf,2
19,<http://dati.camera.it/ocd/assemblea.rdf,1
20,<http://dbpedia.org/classes,1
21,<http://dbpedia.org,1
22,<http://dbpedia.org/person/artist/musicalartist/instrumentalist,1
23,<http://dbpedia.org/server/ontology/classes,1
24,<http://www.exemple.fr,2
25,<http://dbpedia.org/ontology,19
26,<http://dbpedia.org/class/yago,81
27,<http://schema.org,2
28,<http://www.w3.org/2003/01/geo,2
29,<http://umbel.org/umbel/rc,3
30,<http://purl.org/dc/terms,2
31,<http://www.base22.com/ontologies/2010/5,1
32,<http://dbpedia.org/property,13
33,<http://xmlns.com/foaf/0.1,4
34,<http://example.com/ldfs,4
35,<,1
36,<http://www.skroutz.gr/s/444352,1
37,<http://www.skroutz.gr/s/389617,1
38,<http://www.skroutz.gr/s/347390,1
39,<decisioncount.txt,1
40,<http://www.skroutz.gr/s/92135,1
41,<http://www.skroutz.gr/s/276391,1
42,<http://www.skroutz.gr/s/75502,1
43,<http://www.skroutz.gr/s/3486829,1
44,<http://www.skroutz.gr/s/3139977,1
45,<http://www.skroutz.gr/s/2306560,1
46,<dtestupload.txt,1
47,<http://www.skroutz.gr/s/61897,1
48,<http://www.skroutz.gr/s/2883184,1
49,<add_to_cart_custom.png,1
50,<http://www.skroutz.gr/s/4171409,1
51,<http://www.skroutz.gr/s/34290,1
52,<http://www.skroutz.gr/s/3815216,1
53,<menu.js,1
54,<http://www.skroutz.gr/s/256024,1
55,<http://www.skroutz.gr/s/245088,1
56,<cpvcodes.csv,1
57,<http://www.skroutz.gr/s/75645,1
58,<kotsovolos_prosfora_1.jpg,1
59,<kotsovolos_prosfora_2.jpg,1
60,<http://i.imgur.com,1
61,<http://jens-lehmann.org/files/2012,1
62,<dbpedia:ontology,1
63,<http://dbpedia.org/page,4
64,<dbpedia-owl:releasedate,1
65,<http://www.w3.org/2000/01,1
66,<http://www.georss.org/georss,1
67,<http://purl.org/dc/elements/1.1,1
68,<http://www.w3.org/1999/02,1
69,<http://www.w3.org/2006/03/wn/wn20/instances,1
70,<boeing,1
71,<http://en.wikipedia.org/wiki,1
72,<http://wikidata.dbpedia.org/resource,3
73,"<""http://dbpedia.org/page",1
74,<http://viaf.org/authorityscheme,1
