,uid,answers,errors,queries,no answer
0,0126ace40b97576faafdc04d352bf2e2,0,206,206,0
1,c2466a68ac155707715f6ed31470da70,0,110,110,0
2,85f6ae498251781623477c6772be3dd8,0,113,113,0
3,cdd5a53277177861c00f9a2c94337b26,0,113,113,0
4,2898dabaa77d56a3b5276028ca875d90,0,302,302,0
5,d0e1d796c308100bd2eef558311f8eae,0,142,142,0
6,96f68ebde5acc55d134ce29752bfafba,0,152,152,0
7,c1065e0ce541801df42f864ce5c0da31,0,470,470,0
8,87cba2ed3604f1385e2ca85c001258ea,0,168,168,0
9,bed99a462ce49f280a819fa0cd5e5de4,0,107,107,0
10,d936a43387bad69a70f2adf35a7c80e4,0,109,109,0
11,0aaede4399c7c43314bdf08c813e0ad5,0,124,124,0
12,c20224a01f60fa3e2886e1e3576f8465,0,153,153,0
13,cadf29402982974bb591d17918dcc0b4,0,131,131,0
14,a03817d1be204d509cbe91e3755cd4cd,0,129,129,0
15,1bcc725b5aa8434106eb388f5bd4b4d1,0,110,110,0
16,378dd4f3a9d458868878ac14c78770f2,0,122,122,0
17,6695dfbbf1267442808fe9c333413f5b,0,106,106,0
18,4238c4e1d377d0e7cc89aafce46eacb4,0,110,110,0
19,6d418da8de1b4e19787dc71797f22003,0,126,126,0
20,341d8cf8c9c0618120b3f0bfa5f167b9,0,105,105,0
21,b0d410b26eb0e9f94fe870bffaa6b70f,0,143,143,0
22,b1a0b8720419578e9bffd3653c20786c,0,160,160,0
23,7b7eda7a3299f824a3fcf8f5d75f386e,0,179,179,0
24,f9ec7e55778c684e9ce80464568228bc,0,142,142,0
25,42445c7d0ced86c47e6c4d8951031e0a,0,111,111,0
26,b1a44d0e9e8695320477a4223092b539,0,102,102,0
27,560a09017cc5a33f32fbf8e1612ffaeb,0,166,166,0
28,f3bd1fcd064f2176aa6e7fdbefda9c87,0,117,117,0
29,dcffa43d7b55450fb2382ef6b567f8a9,0,303,303,0
30,e501b61d45deb9937635cacba1c3b87a,0,204,204,0
31,18f54a13a4873b27bd5d3154619ea142,0,1044,1044,0
32,c437c7c6be16e7b5aa0b4fbed3aa3304,0,104,104,0
33,9ef5089a4d924532b2cd6c059de52a04,0,111,111,0
34,6b63401fe7045fbbf104846ac5c6debc,0,149,149,0
35,a21076e41508b996b39188d95b4d630b,0,118,118,0
36,14bd03bd4ce49c81dc98369ff75bf1d9,0,139,139,0
37,682ae55b7aec0b3ade1127151dcee284,0,138,138,0
38,5459e093980e751023cec2b325f14866,0,322,322,0
39,b7f0932b03213ed5af523bce495c882e,0,110,110,0
40,f5a1c1793e4bbf386227a23af86cc580,0,225,225,0
41,3281fc5f2013da01fc918488c5882e2c,0,120,120,0
42,f41737d788ade5cad7a1dcf49259e3d8,0,141,141,0
43,a61a81e4f9d8d569bfeaea6d4075fb8c,0,196,196,0
44,2684119e0a057c3ab67e955c2eccf6de,0,117,117,0
45,39355dd096fa29b79d42e05ef47770da,0,158,158,0
46,fb2d8e9adff13da68641828af103eba5,0,107,107,0
